BUSINESS DATE,VOLUME
12/8/2017,1486.268469
12/11/2017,6045.605307
12/12/2017,11886.13069
12/13/2017,4140.831897
12/14/2017,3405.688284
12/15/2017,21734.90286
12/18/2017,1681.134455
12/19/2017,8273.665187
12/20/2017,26109.14993
12/21/2017,6420.215566
12/22/2017,12462.78929
12/26/2017,15.3523248
12/27/2017,10909.23874
12/28/2017,750.5634073
12/29/2017,867.9184849
1/2/2018,1405.288083
1/3/2018,2126.680524
1/4/2018,1585.91385
1/5/2018,1541.484076
1/8/2018,1213.790109
1/9/2018,6910.774174
1/10/2018,6700.486863
1/11/2018,2798.1411
1/12/2018,7296.646533
1/15/2018,1467.829458
1/16/2018,15476.46239
1/17/2018,1653.878225
1/18/2018,2044.691779
1/19/2018,1853.95636
1/22/2018,4195.604642
1/23/2018,2342.350856
1/24/2018,2826.324076
1/25/2018,3885.432776
1/26/2018,3972.70611
1/29/2018,1953.724951
1/30/2018,7178.384583
1/31/2018,2571.823693
2/1/2018,8319.381919
2/2/2018,3578.241453
2/5/2018,4268.64253
2/6/2018,5621.021633
2/7/2018,12399.57803
2/8/2018,3905.509848
2/9/2018,3400.169655
2/12/2018,13184.57895
2/13/2018,3514.958172
2/14/2018,2632.23395
2/15/2018,2057.367373
2/16/2018,10170.37386
2/19/2018,1008.878665
2/20/2018,1844.60326
2/21/2018,1679.298224
2/22/2018,13915.1948
2/23/2018,1811.638869
2/26/2018,5323.789793
2/27/2018,1793.874409
2/28/2018,1704.106705
3/1/2018,2357.688156
3/2/2018,2593.917825
3/5/2018,2282.110033
3/6/2018,2630.883349
3/7/2018,1883.322483
3/8/2018,2230.88525
3/9/2018,2154.627303
3/12/2018,2962.053066
3/13/2018,3074.561906
3/14/2018,2699.901562
3/15/2018,2922.011853
3/16/2018,2647.377179
3/19/2018,8643.977127
3/20/2018,1791.576084
3/21/2018,2137.724682
3/22/2018,3302.159192
3/23/2018,2954.615196
3/26/2018,2124.725102
3/27/2018,9255.688878
3/28/2018,2425.23358
3/29/2018,2128.945526
3/30/2018,3.343839324
4/2/2018,60.54420584
4/3/2018,2446.319752
4/4/2018,6243.258553
4/5/2018,2172.24314
4/6/2018,1710.521322
4/9/2018,1848.225089
4/10/2018,2328.67335
4/11/2018,4887.732969
4/12/2018,1759.274441
4/13/2018,2120.110383
4/16/2018,2374.872893
4/17/2018,2919.055469
4/18/2018,5594.564137
4/19/2018,3485.299159
4/20/2018,2582.579883
4/23/2018,1977.943398
4/24/2018,2602.453591
4/25/2018,7897.135543
4/26/2018,2398.177869
4/27/2018,2479.221363
4/30/2018,1878.553049
5/1/2018,686.8703353
5/2/2018,3611.988202
5/3/2018,3128.801519
5/4/2018,2107.591755
5/7/2018,3089.911828
5/8/2018,2112.112984
5/9/2018,5273.342598
5/10/2018,4128.508123
5/11/2018,1563.702856
5/14/2018,4300.611852
5/15/2018,2583.192951
5/16/2018,4400.226654
5/17/2018,2223.541558
5/18/2018,2589.726083
5/21/2018,2113.438492
5/22/2018,1942.081015
5/23/2018,3698.683812
5/24/2018,2840.586945
5/25/2018,3501.765587
5/28/2018,2292.325274
5/29/2018,5315.523823
5/30/2018,3476.143896
5/31/2018,2656.045827
6/1/2018,2975.949057
6/4/2018,2469.877796
6/5/2018,3646.501739
6/6/2018,3316.27598
6/7/2018,3175.541591
6/8/2018,9786.654659
6/11/2018,3202.160251
6/12/2018,2674.218285
6/13/2018,4307.266627
6/14/2018,6846.058188
6/15/2018,3368.137607
6/18/2018,1933.287271
6/19/2018,2648.877744
6/20/2018,2500.434149
6/21/2018,1937.247955
6/22/2018,841.6120501
6/25/2018,1389.014081
6/26/2018,2446.419351
6/27/2018,2470.647637
6/28/2018,1752.020827
6/29/2018,2562.946474
7/2/2018,1632.616438
7/3/2018,1517.265102
7/4/2018,1397.735696
7/5/2018,1907.619393
7/6/2018,1256.457461
7/9/2018,2866.710517
7/10/2018,1716.294676
7/11/2018,1565.13688
7/12/2018,1181.579149
7/13/2018,1194.480277
7/16/2018,1179.867941
7/17/2018,1638.237426
7/18/2018,10760.13369
7/19/2018,1662.658362
7/20/2018,3218.022262
7/23/2018,2025.104208
7/24/2018,6170.39448
7/25/2018,1964.887988
7/26/2018,1859.897191
7/27/2018,1442.762366
7/30/2018,1465.175629
7/31/2018,1904.826987
8/1/2018,1557.196607
8/2/2018,2450.76853
8/3/2018,1923.735018
8/6/2018,1146.09313
8/7/2018,1891.329387
8/8/2018,1764.029379
8/9/2018,1293.795261
8/10/2018,2432.511909
8/13/2018,1993.851855
8/14/2018,1517.668815
8/15/2018,1902.470641
8/16/2018,4931.333941
8/17/2018,2302.810486
8/20/2018,1101.660796
8/21/2018,1232.790928
8/22/2018,4313.748013
8/23/2018,1287.697827
8/24/2018,1236.369535
8/27/2018,3235.547568
8/28/2018,1346.595355
8/29/2018,1396.408324
8/30/2018,2250.991802
8/31/2018,1894.362491
9/3/2018,1132.321245
9/4/2018,5676.081442
9/5/2018,2303.083135
9/6/2018,1816.036631
9/7/2018,1917.322503
9/10/2018,1534.7848
9/11/2018,1714.119336
9/12/2018,1838.324943
9/13/2018,1953.751176
9/14/2018,1948.367316
9/17/2018,1735.703488
9/18/2018,2944.450698
9/19/2018,2826.33611
9/20/2018,2946.827892
9/21/2018,2637.6402
9/24/2018,1922.041755
9/25/2018,1938.2638
9/26/2018,3086.312406
9/27/2018,3726.32621
9/28/2018,2737.272734
10/1/2018,4009.997887
10/2/2018,2844.708215
10/3/2018,2167.261813
10/4/2018,4545.280979
