Date,USD
5/15/2018,1.1883
5/14/2018,1.1988
5/11/2018,1.1934
5/10/2018,1.1878
5/9/2018,1.1879
5/8/2018,1.187
5/7/2018,1.1902
5/4/2018,1.1969
5/3/2018,1.1992
5/2/2018,1.2007
4/30/2018,1.2079
4/27/2018,1.207
4/26/2018,1.2168
4/25/2018,1.2185
4/24/2018,1.2213
4/23/2018,1.2238
4/20/2018,1.2309
4/19/2018,1.2382
4/18/2018,1.2388
4/17/2018,1.2357
4/16/2018,1.237
4/13/2018,1.2317
4/12/2018,1.2323
4/11/2018,1.2384
4/10/2018,1.2361
4/9/2018,1.2304
4/6/2018,1.2234
4/5/2018,1.226
4/4/2018,1.2276
4/3/2018,1.2308
3/29/2018,1.2321
3/28/2018,1.2398
3/27/2018,1.2376
3/26/2018,1.2411
3/23/2018,1.2346
3/22/2018,1.2316
3/21/2018,1.2286
3/20/2018,1.2276
3/19/2018,1.2309
3/16/2018,1.2301
3/15/2018,1.2341
3/14/2018,1.2369
3/13/2018,1.2378
3/12/2018,1.2302
3/9/2018,1.2291
3/8/2018,1.2421
3/7/2018,1.2417
3/6/2018,1.2411
3/5/2018,1.2307
3/2/2018,1.2312
3/1/2018,1.2171
2/28/2018,1.2214
2/27/2018,1.2301
2/26/2018,1.232
2/23/2018,1.2299
2/22/2018,1.2276
2/21/2018,1.2312
2/20/2018,1.234
2/19/2018,1.241
2/16/2018,1.2464
2/15/2018,1.2493
2/14/2018,1.2348
2/13/2018,1.2333
2/12/2018,1.2263
2/9/2018,1.2273
2/8/2018,1.2252
2/7/2018,1.2338
2/6/2018,1.2329
2/5/2018,1.244
2/2/2018,1.2492
2/1/2018,1.2459
1/31/2018,1.2457
1/30/2018,1.2421
1/29/2018,1.2379
1/26/2018,1.2436
1/25/2018,1.2407
1/24/2018,1.2352
1/23/2018,1.2249
1/22/2018,1.2239
1/19/2018,1.2255
1/18/2018,1.2235
1/17/2018,1.2203
1/16/2018,1.223
1/15/2018,1.2277
1/12/2018,1.2137
1/11/2018,1.2017
1/10/2018,1.1992
1/9/2018,1.1932
1/8/2018,1.1973
1/5/2018,1.2045
1/4/2018,1.2065
1/3/2018,1.2023
1/2/2018,1.2065
12/29/2017,1.1993
12/28/2017,1.1934
12/27/2017,1.1895
12/22/2017,1.1853
12/21/2017,1.1859
12/20/2017,1.1845
12/19/2017,1.1823
12/18/2017,1.1795
12/15/2017,1.1806
12/14/2017,1.1845
12/13/2017,1.1736
12/12/2017,1.1766
12/11/2017,1.1796
12/8/2017,1.1742
12/7/2017,1.1786
12/6/2017,1.1817
12/5/2017,1.1847
12/4/2017,1.1865
12/1/2017,1.1885
11/30/2017,1.1849
11/29/2017,1.1827
11/28/2017,1.1888
11/27/2017,1.1952
11/24/2017,1.1877
11/23/2017,1.1848
11/22/2017,1.1749
11/21/2017,1.1718
11/20/2017,1.1781
11/17/2017,1.1795
11/16/2017,1.1771
11/15/2017,1.184
11/14/2017,1.1745
11/13/2017,1.1656
11/10/2017,1.1654
11/9/2017,1.163
11/8/2017,1.159
11/7/2017,1.1562
11/6/2017,1.159
11/3/2017,1.1657
11/2/2017,1.1645
11/1/2017,1.1612
10/31/2017,1.1638
10/30/2017,1.1612
10/27/2017,1.1605
10/26/2017,1.1753
10/25/2017,1.1785
10/24/2017,1.1761
10/23/2017,1.174
10/20/2017,1.1818
10/19/2017,1.1834
10/18/2017,1.1749
10/17/2017,1.1759
10/16/2017,1.1803
10/13/2017,1.181
10/12/2017,1.1856
10/11/2017,1.183
10/10/2017,1.1797
10/9/2017,1.1746
10/6/2017,1.1707
10/5/2017,1.1742
10/4/2017,1.1787
10/3/2017,1.1753
10/2/2017,1.1744
9/29/2017,1.1806
9/28/2017,1.1778
9/27/2017,1.1741
9/26/2017,1.1787
9/25/2017,1.1867
9/22/2017,1.1961
9/21/2017,1.1905
9/20/2017,1.2007
9/19/2017,1.1972
9/18/2017,1.1948
9/15/2017,1.1963
9/14/2017,1.1885
9/13/2017,1.1979
9/12/2017,1.1933
9/11/2017,1.1997
9/8/2017,1.206
9/7/2017,1.1971
9/6/2017,1.1931
9/5/2017,1.189
9/4/2017,1.1905
9/1/2017,1.192
8/31/2017,1.1825
8/30/2017,1.1916
8/29/2017,1.2048
8/28/2017,1.1925
8/25/2017,1.1808
8/24/2017,1.1806
8/23/2017,1.1799
8/22/2017,1.1771
8/21/2017,1.1761
8/18/2017,1.174
8/17/2017,1.1697
8/16/2017,1.171
8/15/2017,1.1744
8/14/2017,1.1797
8/11/2017,1.1765
8/10/2017,1.1732
8/9/2017,1.1731
8/8/2017,1.1814
8/7/2017,1.1797
8/4/2017,1.1868
8/3/2017,1.186
8/2/2017,1.1829
8/1/2017,1.1812
7/31/2017,1.1727
7/28/2017,1.1729
7/27/2017,1.1694
7/26/2017,1.1644
7/25/2017,1.1694
7/24/2017,1.1648
7/21/2017,1.1642
7/20/2017,1.1485
7/19/2017,1.1533
7/18/2017,1.1555
7/17/2017,1.1462
7/14/2017,1.1415
7/13/2017,1.1417
7/12/2017,1.1449
7/11/2017,1.1405
7/10/2017,1.1387
7/7/2017,1.1412
7/6/2017,1.1385
7/5/2017,1.1329
7/4/2017,1.1353
7/3/2017,1.1369
6/30/2017,1.1412
6/29/2017,1.1413
6/28/2017,1.1375
6/27/2017,1.1278
6/26/2017,1.1187
6/23/2017,1.1173
6/22/2017,1.1169
6/21/2017,1.1147
6/20/2017,1.1156
6/19/2017,1.1199
6/16/2017,1.1167
6/15/2017,1.1166
6/14/2017,1.1203
6/13/2017,1.1217
6/12/2017,1.1221
6/9/2017,1.1176
6/8/2017,1.1229
6/7/2017,1.1217
6/6/2017,1.1258
6/5/2017,1.1249
6/2/2017,1.1217
6/1/2017,1.1219
5/31/2017,1.1221
5/30/2017,1.1173
5/29/2017,1.1188
5/26/2017,1.1196
5/25/2017,1.1214
5/24/2017,1.1193
5/23/2017,1.1215
5/22/2017,1.1243
5/19/2017,1.1179
5/18/2017,1.1129
5/17/2017,1.1117
5/16/2017,1.1059
5/15/2017,1.0972
5/12/2017,1.0876
5/11/2017,1.086
5/10/2017,1.0882
5/9/2017,1.0888
5/8/2017,1.0938
5/5/2017,1.0961
5/4/2017,1.0927
5/3/2017,1.0919
5/2/2017,1.0915
4/28/2017,1.093
4/27/2017,1.0881
4/26/2017,1.0893
4/25/2017,1.0891
4/24/2017,1.0848
4/21/2017,1.0698
4/20/2017,1.0745
4/19/2017,1.0725
4/18/2017,1.0682
4/13/2017,1.063
4/12/2017,1.0605
4/11/2017,1.0616
4/10/2017,1.0578
4/7/2017,1.063
4/6/2017,1.0666
4/5/2017,1.0678
4/4/2017,1.0651
4/3/2017,1.0661
3/31/2017,1.0691
3/30/2017,1.0737
3/29/2017,1.0748
3/28/2017,1.0859
3/27/2017,1.0889
3/24/2017,1.0805
3/23/2017,1.0786
3/22/2017,1.0807
3/21/2017,1.0802
3/20/2017,1.0752
3/17/2017,1.0737
3/16/2017,1.0726
3/15/2017,1.0622
3/14/2017,1.0631
3/13/2017,1.0663
3/10/2017,1.0606
3/9/2017,1.0551
3/8/2017,1.0556
3/7/2017,1.0576
3/6/2017,1.0592
3/3/2017,1.0565
3/2/2017,1.0514
3/1/2017,1.0533
2/28/2017,1.0597
2/27/2017,1.0587
2/24/2017,1.0609
2/23/2017,1.0573
2/22/2017,1.0513
2/21/2017,1.0537
2/20/2017,1.0616
2/17/2017,1.065
2/16/2017,1.0652
2/15/2017,1.0555
2/14/2017,1.0623
2/13/2017,1.0629
2/10/2017,1.0629
2/9/2017,1.0692
2/8/2017,1.0665
2/7/2017,1.0675
2/6/2017,1.0712
2/3/2017,1.0741
2/2/2017,1.0808
2/1/2017,1.079
1/31/2017,1.0755
1/30/2017,1.063
1/27/2017,1.0681
1/26/2017,1.07
1/25/2017,1.0743
1/24/2017,1.0748
1/23/2017,1.0715
1/20/2017,1.0632
1/19/2017,1.0668
1/18/2017,1.0664
1/17/2017,1.0684
1/16/2017,1.0594
1/13/2017,1.0661
1/12/2017,1.0679
1/11/2017,1.0503
1/10/2017,1.0567
1/9/2017,1.0516
1/6/2017,1.0589
1/5/2017,1.0501
1/4/2017,1.0437
1/3/2017,1.0385
1/2/2017,1.0465
12/30/2016,1.0541
12/29/2016,1.0453
12/28/2016,1.0401
12/27/2016,1.0445
12/23/2016,1.0446
12/22/2016,1.0444
12/21/2016,1.0421
12/20/2016,1.0364
12/19/2016,1.0422
12/16/2016,1.0439
12/15/2016,1.0419
12/14/2016,1.0644
12/13/2016,1.061
12/12/2016,1.0596
12/9/2016,1.0559
12/8/2016,1.0762
12/7/2016,1.073
12/6/2016,1.0734
12/5/2016,1.0702
12/2/2016,1.0642
12/1/2016,1.0627
11/30/2016,1.0635
11/29/2016,1.0576
11/28/2016,1.0588
11/25/2016,1.0592
11/24/2016,1.0548
11/23/2016,1.0602
11/22/2016,1.0617
11/21/2016,1.0631
11/18/2016,1.0629
11/17/2016,1.0717
11/16/2016,1.0702
11/15/2016,1.0765
11/14/2016,1.0777
11/11/2016,1.0904
11/10/2016,1.0895
11/9/2016,1.1022
11/8/2016,1.1038
11/7/2016,1.1062
11/4/2016,1.1093
11/3/2016,1.1064
11/2/2016,1.1095
11/1/2016,1.1025
10/31/2016,1.0946
10/28/2016,1.0922
10/27/2016,1.0927
10/26/2016,1.0925
10/25/2016,1.0872
10/24/2016,1.0891
10/21/2016,1.0886
10/20/2016,1.098
10/19/2016,1.0979
10/18/2016,1.0993
10/17/2016,1.0994
10/14/2016,1.1002
10/13/2016,1.1038
10/12/2016,1.102
10/11/2016,1.1079
10/10/2016,1.116
10/7/2016,1.114
10/6/2016,1.1185
10/5/2016,1.1211
10/4/2016,1.1161
10/3/2016,1.1236
9/30/2016,1.1161
9/29/2016,1.1221
9/28/2016,1.1225
9/27/2016,1.122
9/26/2016,1.1262
9/23/2016,1.1214
9/22/2016,1.1238
9/21/2016,1.115
9/20/2016,1.1184
9/19/2016,1.1165
9/16/2016,1.1226
